CAS#,CAS,Substance,PrimaryMoA,MolarMass(g/mol),Tm [oC],Pvap25 [Pa],Sol25 [mg/L],Kow [-],pKa1 [-],pKb1 [-],kdeg(water) [s-1],kdeg(sed) [s-1],kdeg(soil) [s-1],OrigenQuality-Acute EC50,SelectTaxa-Acute EC50,DataType-Acute EC50,RiskEndpoint-Acute EC50,#ToxData-Acute EC50,#Species-Acute EC50,#TaxClass-Acute EC50,10LogSSDMedianConcentration(ug/L)-MuAcute EC50,10LogSSDSlope(ug/L)-SigmaAcute EC50,Remark on acute SSD slope,QualityScore-Acute EC50,Remarks-Acute EC50,OrigenQuality-Chronic NOEC,SelectTaxa-Chronic NOEC,DataType-Chronic NOEC,RiskEndpoint-Chronic NOEC,#ToxData-Chronic NOEC,#Species-Chronic NOEC,#TaxClass-Chronic NOEC,10LogSSDMedianConcentration(ug/L)-MuChronic NOEC,10LogSSDSlope(ug/L)-SigmaChronic NOEC,Remark on chronic SSD slope,QualityScore-Chronic NOEC,Remarks-Chronic NOEC,Filter
66108950,66108-95-0,Iohexol,66108950,821.13,349.84,5.41198e-27,0.64073,0.00154881661891248,11.81,,1.08597936507033e-07,1.13259343228749e-07,3.50074333616134e-07,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,5.71,3.44,"Slope too high to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,66108-95-0
21850442,21850-44-2,"1,1'-(isopropylidene)bis[3,5-dibromo-4-(2,3-dibromopropoxy)benzene]",21850442,943.67,281.21,8.47788e-13,5.05e-10,331131121482.591,,,1.13259343228749e-06,1.13259343228749e-07,3.50074333616134e-07,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,0.664,2.87,"Slope too high to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,21850-44-2
1163195,1163-19-5,bis(pentabromophenyl) ether,1163195,959.23,254.5,6.22511e-10,1.86e-10,1288249551693.14,,,2.51377101900443e-09,1.13259343228749e-07,3.50074333616134e-07,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,-1.49,0.923,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,1163-19-5
68224,68-22-4,Norethindrone,Testosteron,298.43,161,3.14588e-07,4.7259,977.237220955811,13.59,,3.04807629636641e-07,3.50074333616134e-08,1.13259343228749e-07,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.77,0.653,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,68-22-4
50486,50-48-6,Amitriptyline,Antidepressants,277.41,134.41,4.82546e-05,3.5479,89125.0938133746,,,2.34710496997713e-08,1.13259343228749e-08,3.50074333616134e-08,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,2.56,0.38,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,50-48-6
87605,87-60-5,3-chloro-o-toluidine,87605,141.6,41.77,4.73215,508.39,186.208713666287,,10.47,1.13259343228749e-06,3.50074333616134e-07,1.13259343228749e-06,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.59,0.711,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,87-60-5
95794,95-79-4,5-chloro-o-toluidine,95794,141.6,41.77,6.09181,561.95,186.208713666287,,,1.13259343228749e-06,3.50074333616134e-07,1.13259343228749e-06,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.59,0.711,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,95-79-4
88175,88-17-5,"a,a,a-trifluoro-o-toluidine",88175,161.13,9.58,67.0499,4354.6,109.647819614319,,9.4,1.13259343228749e-06,3.50074333616134e-07,1.13259343228749e-06,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.75,0.635,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,88-17-5
85405,85-40-5,"1,2,3,6-tetrahydrophthalimide",85405,151.17,172.09,1.58627e-05,57772,1.99526231496888,9.3,,3.50074333616134e-06,1.13259343228749e-07,3.50074333616134e-07,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.68,1.44,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,85-40-5
50271,50-27-1,Estriol,50271,288.39,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.69,0.495,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,50-27-1
50497,50-49-7,Imipramin,50497,280.42,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,2.75,0.466,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,50-49-7
53418,53-41-8,Androsteron,53418,290.45,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.96,0.108,"Slope too low to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,53-41-8
56531,56-53-1,Diethylstilbestrol,56531,268.36,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,2.6,0.686,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,56-53-1
57410,57-41-0,Fenytoin,57410,252.28,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.71,0.899,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,57-41-0
57910,57-91-0,17-alpha-Estradiol,57910,272.39,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.4,0.14,"Slope too low to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,57-91-0
58935,58-93-5,Hydroklortiazid,58935,297.74,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,5.22,1.56,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,58-93-5
59405,59-40-5,Sulfaquinoxaline,59405,300.34,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.91,0.849,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,59-40-5
59665,59-66-5,Acetazolamid,59665,222.25,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.23,1.35,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,59-66-5
61723,61-72-3,Kloxacillin,61723,435.89,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.66,0.766,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,61-72-3
66795,66-79-5,Oxacillin,66795,401.44,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4,0.938,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,66-79-5
76426,76-42-6,Oxikodon,76426,315.37,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.88,0.735,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,76-42-6
76573,76-57-3,Kodein,76573,299.37,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.56,0.54,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,76-57-3
96888,96-88-8,Mepivakain,96888,246.36,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.59,0.502,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,96-88-8
122883,122-88-3,4-CPA,phenoxyacetic,186.59,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.68,0.62,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,122-88-3
125280,125-28-0,Dihydrocodein,125280,301.39,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.89,0.695,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,125-28-0
125291,125-29-1,Hydrocodon,125291,299.37,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.48,0.563,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,125-29-1
125337,125-33-7,Primidon,125337,218.26,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.19,1.15,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,125-33-7
137586,137-58-6,Lidokain,137586,234.35,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.55,0.496,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,137-58-6
144821,144-82-1,Sulfamethizol,144821,270.34,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.17,0.687,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,144-82-1
147944,147-94-4,Cytarabin,147944,243.22,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,6.16,2.03,"Slope too high to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,147-94-4
152625,152-62-5,Dydrogesteron,152625,312.45,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.83,0.0863,"Slope too low to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,152-62-5
303811,303-81-1,Novobiocin,303811,612.63,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.37,0.817,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,303-81-1
474862,474-86-2,Equilin,474862,268.36,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.46,0.135,"Slope too low to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,474-86-2
483636,483-63-6,Crotamiton,483636,203.29,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.16,0.69,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,483-63-6
564250,564-25-0,Doxycyklin,564250,444.44,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.28,0.84,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,564-25-0
604751,604-75-1,Oxazepam,604751,286.72,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.55,0.801,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,604-75-1
721506,721-50-6,Prilokain,721506,220.32,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.84,0.606,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,721-50-6
797637,797-63-7,Levonorgestrel,797637,312.45,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.55,0.618,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,797-63-7
846491,846-49-1,Lorazepam,846491,321.17,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.21,0.626,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,846-49-1
1668195,1668-19-5,Doxepin,1668195,279.38,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,2.9,0.485,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,1668-19-5
1812302,1812-30-2,Bromazepam,Anxiolytic Sedative Hypnotics and Antipsychiotics,316.17,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.75,0.872,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,1812-30-2
1912261,1912-26-1,Trietazine,chlorotriazine,229.72,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.36,1.16,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,1912-26-1
2136790,2136-79-0,Chlorthal,2136790,303.91,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,2.82,0.239,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,2136-79-0
2163691,2163-69-1,Cycluron,2163691,198.31,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.69,0.944,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,2163-69-1
3778732,3778-73-2,Ifosfamid,3778732,261.09,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,5.08,0.514,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,3778-73-2
4394007,4394-00-7,Niflumicsäure,4394007,282.22,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.39,1.11,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,4394-00-7
4640011,4640-01-1,Methyltriclosan,4640011,303.57,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,2.4,0.334,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,4640-01-1
4658280,4658-28-0,aziprotryn,methylthiotriazine,225.29,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,1.63,2.68,"Slope too high to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,4658-28-0
4812402,4812-40-2,Hydroxy-Metronidazol,4812402,187.16,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.78,1.45,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,4812-40-2
5011347,5011-34-7,Trimetazidin,5011347,266.34,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.15,1.01,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,5011-34-7
6493056,6493-05-6,Pentoxifyllin,6493056,278.32,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.96,1.25,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,6493-05-6
7773526,7773-52-6,Cetylpyridin | Cetylpyridinium,7773526,304.54,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,0.832,0.446,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,7773-52-6
8025818,8025-81-8,Spiramycin,8025818,843.07,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.68,0.725,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,8025-81-8
14769734,14769-73-4,Levamisol,14769734,204.3,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.06,0.613,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,14769-73-4
15302917,15302-91-7,Mepiquat,15302917,114.21,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,5.27,0.955,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,15302-91-7
15845666,15845-66-6,Fosetyl,15845666,110.05,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,6.36,1.01,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,15845-66-6
15935543,15935-54-3,Carboxyibuprofen,15935543,236.27,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.98,0.286,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,15935-54-3
17090798,17090-79-8,Monensin,17090798,670.88,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.94,0.329,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,17090-79-8
18323449,18323-44-9,Klindamycin,18323449,424.99,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.59,0.769,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,18323-44-9
20574509,20574-50-9,Morantel,20574509,220.34,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,3.88,0.135,"Slope too low to be realistic, replace by 0.7",1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,20574-50-9
21312107,21312-10-7,Acetylsulfamethoxazol,21312107,295.32,,,,,,,,,,ReadAcross,ADF,Acute EC50 HC50,ReadAcross GeoAvg Acute EC50,0,3,3,4.26,1.09,,1336,ReadAcross,"Green highlight-Potential to extrapolate Chronic NOEC SSD median concentration from poorly represented Acute EC50 data (ChronicMu = AcuteMu-1, ChronicSigma = AcuteSigma or 0.7 as a default)",,,,,,,,,,,,21312-10-7
